时段,P,蒸发能力,总蒸发,EU,EL,ED,蒸发阶段,产流R,产流描述,地表径流Rs,壤中流Ri,地下径流Rg,水源划分描述,QS,QI,QG,QT,Q1,Q2
1,10.0000,0.0680,0.0680,0.0680,0.0000,0.0000,上层含水量增加,3.7878,局部产流,3.6981,0.8359,0.6269,自由水库蓄满，全流域产流,27.5815,48.9370,20.5351,97.0537,45.7054,63.2459
2,24.1000,0.0000,0.0000,0.0000,0.0000,0.0000,上层含水量增加,11.1992,局部产流,8.6594,1.2667,0.9500,自由水库蓄满，全流域产流,230.0741,67.1516,21.5415,318.7672,102.1089,52.4276
3,20.4000,0.0680,0.0680,0.0680,0.0000,0.0000,深层含水量增加,14.3770,全流域产流,7.6067,3.0881,2.3161,产流面积内自由水库未蓄满，部分产流，,499.4065,132.4196,24.5655,656.3917,282.3102,113.9744
4,18.3000,0.3400,0.3400,0.3400,0.0000,0.0000,上层含水量增加,17.9600,全流域产流,5.6865,5.8358,4.3769,产流面积内自由水库未蓄满，部分产流，,539.5639,253.5542,30.6031,823.7212,549.6659,291.3120
5,10.1000,0.4760,0.4760,0.4760,0.0000,0.0000,上层含水量增加,9.6240,全流域产流,2.5997,4.5605,3.4203,产流面积内自由水库未蓄满，部分产流，,451.9120,288.1863,35.0930,775.1913,734.9069,543.0193
6,5.5000,0.6120,0.6120,0.6120,0.0000,0.0000,上层含水量增加,4.8880,全流域产流,0.8593,2.9796,2.2347,产流面积内自由水库未蓄满，部分产流，,264.3037,261.8038,37.7246,563.8321,751.8814,719.0057
7,0.6000,0.5440,0.5440,0.5440,0.0000,0.0000,上层含水量增加,0.0560,全流域产流,0.0039,0.9147,0.6860,产流面积内自由水库未蓄满，部分产流，,119.6733,184.3717,37.9935,342.0385,609.9135,735.9865
8,3.1000,0.4760,0.4760,0.4760,0.0000,0.0000,下层含水量增加,2.6240,全流域产流,0.1560,1.2616,0.9462,产流面积内自由水库未蓄满，部分产流，,33.5451,148.2610,38.6450,220.4512,417.5538,603.8874
9,1.9000,0.3400,0.3400,0.3400,0.0000,0.0000,上层含水量增加,1.5600,全流域产流,0.0807,0.9702,0.7277,产流面积内自由水库未蓄满，部分产流，,14.0508,117.9013,38.9576,170.9097,274.1526,421.4567
10,4.6000,0.2040,0.2040,0.2040,0.0000,0.0000,深层含水量增加,4.3960,全流域产流,0.3801,1.8974,1.4231,产流面积内自由水库未蓄满，部分产流，,8.8012,127.3476,40.3012,176.4499,198.4849,280.6650
11,5.0000,0.1360,0.1360,0.1360,0.0000,0.0000,上层含水量增加,4.8640,全流域产流,0.5545,2.2930,1.7198,产流面积内自由水库未蓄满，部分产流，,23.5110,144.8176,42.0605,210.3890,183.1359,204.5605
12,4.8000,0.0680,0.0680,0.0680,0.0000,0.0000,上层含水量增加,4.7320,全流域产流,0.5729,2.3515,1.7637,产流面积内自由水库未蓄满，部分产流，,35.3571,157.0446,43.8500,236.2518,202.2395,186.8203
13,36.2000,0.0000,0.0000,0.0000,0.0000,0.0000,下层含水量增加,36.2000,全流域产流,18.5265,7.7748,5.8311,产流面积内自由水库未蓄满，部分产流，,174.9220,326.1764,51.6711,552.7696,256.7508,205.7934
14,29.0000,0.0000,0.0000,0.0000,0.0000,0.0000,上层含水量增加,29.0000,全流域产流,15.7464,7.6339,5.7254,产流面积内自由水库未蓄满，部分产流，,959.1858,423.4506,59.1782,1441.8145,544.1325,278.2439
15,6.0000,0.0680,0.0680,0.0680,0.0000,0.0000,深层含水量增加,5.9320,全流域产流,1.5687,4.0355,3.0266,产流面积内自由水库未蓄满，部分产流，,996.9782,374.4620,62.5093,1433.9495,1142.6628,574.3726
16,3.6000,0.4080,0.4080,0.4080,0.0000,0.0000,上层含水量增加,3.1920,全流域产流,0.4455,2.3092,1.7319,产流面积内自由水库未蓄满，部分产流，,446.5840,293.5698,63.8426,803.9964,1284.4092,1103.8861
17,0.4000,0.5440,0.5440,0.5440,0.0000,0.0000,上层含水量增加,0.0000,无径流产生,0.0000,0.6928,0.5196,无有效净雨，无地面径流,160.7776,196.8097,63.3408,420.9280,955.4620,1238.0937
18,0.0000,0.6800,0.6800,0.6800,0.0000,0.0000,上层含水量增加,0.0000,无径流产生,0.0000,0.2078,0.1559,无有效净雨，无地面径流,18.3453,124.2861,62.3065,204.9379,577.2448,946.7724
19,0.5000,0.6120,0.6120,0.6120,0.0000,0.0000,上层含水量增加,0.0000,无径流产生,0.0000,0.0623,0.0468,无有效净雨，无地面径流,3.3226,76.4318,61.1301,140.8844,301.6364,585.7829
20,3.8000,0.5440,0.5440,0.5440,0.0000,0.0000,上层含水量增加,2.4353,局部产流,0.2017,0.9122,0.6841,产流面积内自由水库未蓄满，部分产流，,1.5042,73.0720,60.9280,135.5042,181.1615,316.5156
21,0.0000,0.4760,0.4760,0.4760,0.0000,0.0000,上层含水量增加,0.0000,无径流产生,0.0000,0.2737,0.2052,无有效净雨，无地面径流,9.0254,52.0071,60.0155,121.0481,142.0780,189.9133
22,1.8000,0.3400,0.3400,0.3400,0.0000,0.0000,上层含水量增加,1.1021,局部产流,0.0540,0.5013,0.3760,产流面积内自由水库未蓄满，部分产流，,3.4114,46.1601,59.3761,108.9475,124.7129,144.8480
23,0.2000,0.2040,0.2040,0.2040,0.0000,0.0000,上层含水量增加,0.0000,无径流产生,0.0000,0.1504,0.1128,无有效净雨，无地面径流,3.9217,32.1828,58.3568,94.4613,112.5747,125.4399
24,0.3000,0.0680,0.0680,0.0680,0.0000,0.0000,上层含水量增加,0.1827,局部产流,0.0022,0.1173,0.0880,产流面积内自由水库未蓄满，部分产流，,0.8223,22.8101,57.3209,80.9533,98.6664,112.4799
